target_id,rank,sep,simbad_identifier,ra,pm_ra,dec,pm_dec,ra_d,dec_d,plx,rv,z,magB,magV,sp_type
7468,4,9.33,[EHC2008] s23,19:53:49.434,~,+18:45:56.54,~,298.455974,+18.765705,~,~,~,17.75,~,~
7469,2,3.01,[KGS2008] J195349.1+184559,19:53:49.1,~,+18:45:59,~,298.4546,+18.7664,~,~,~,13.55,12.51,~
7469,3,3.64,Cl* NGC 6838 YM V22,19:53:48.67,~,+18:45:58.4,~,298.45279,+18.76622,~,~,~,17.02,16.30,~
7469,4,8.33,[EHC2008] s23,19:53:49.434,~,+18:45:56.54,~,298.455974,+18.765705,~,~,~,17.75,~,~
7471,2,5.26,[HBE2010] s27b,19:53:51.43,~,+18:46:00.4,~,298.46429,+18.76678,~,~,~,18.41,~,~
7474,2,3.32,** HO 131B,20:28:18.5,~,+18:46:13,~,307.0771,+18.7703,~,~,~,~,10.2,~
7474,3,3.35,HD 195019,20:28:18.63568,348.48,+18:46:10.1740,-58.39,307.07764865,+18.76949279,25.96,-91.50,-0.000305,7.530,6.880,G3IV-V
7474,4,3.36,** HO 131A,20:28:18.636,350.2,+18:46:10.18,-58.3,307.077650,+18.769494,~,~,~,7.70,6.97,~
7475,2,0.07,HD 195019,20:28:18.63568,348.48,+18:46:10.1740,-58.39,307.07764865,+18.76949279,25.96,-91.50,-0.000305,7.530,6.880,G3IV-V
7475,3,0.6,HD 195019b,20:28:18.6,~,+18:46:10,~,307.0775,+18.7694,~,~,~,~,~,~
7475,4,3.43,** HO 131B,20:28:18.5,~,+18:46:13,~,307.0771,+18.7703,~,~,~,~,10.2,~
7477,2,9.11,[KGS2008] J195350.9+184602,19:53:50.9,~,+18:46:02,~,298.4621,+18.7672,~,~,~,15.48,14.58,~
7478,2,2.0,** HO 131B,20:28:18.5,~,+18:46:13,~,307.0771,+18.7703,~,~,~,~,10.2,~
7478,3,2.1,HD 195019,20:28:18.63568,348.48,+18:46:10.1740,-58.39,307.07764865,+18.76949279,25.96,-91.50,-0.000305,7.530,6.880,G3IV-V
7478,4,2.1,** HO 131A,20:28:18.636,350.2,+18:46:10.18,-58.3,307.077650,+18.769494,~,~,~,7.70,6.97,~
7483,2,4.38,Cl* NGC 6838 ASC 1060,19:53:39.4,~,+18:46:24,~,298.4142,+18.7733,~,-2.37,-0.000008,~,16.95,~
7483,3,7.47,[KGS2008] J195339.2+184623,19:53:39.18,~,+18:46:23.9,~,298.41325,+18.77331,~,~,~,17.48,16.86,~
7487,2,7.49,NGC 6838 1106,19:53:43.985,~,+18:46:32.38,~,298.433271,+18.775661,~,~,~,15.38,14.44,~
7487,3,9.27,[BCS2004] M 71 C51310+3849,19:53:44.83,~,+18:46:42.0,~,298.43679,+18.77833,~,~,~,~,17.39,~
7487,4,9.41,Cl* NGC 6838 KC 267,19:53:45.1,~,+18:46:30,~,298.4379,+18.7750,~,-34.8,-0.000116,16.13,15.69,~
7488,2,4.16,2MASS J19535325+1846471,19:53:53.252,~,+18:46:47.13,~,298.471883,+18.779758,~,-23.96,-0.000080,14.03,12.28,A...
7489,2,3.75,2MASS J19535325+1846471,19:53:53.252,~,+18:46:47.13,~,298.471883,+18.779758,~,-23.96,-0.000080,14.03,12.28,A...
7490,2,6.44,2MASS J19534525+1846553,19:53:45.25,~,+18:46:55.4,~,298.43854,+18.78206,~,-14.50,-0.000048,13.52,12.27,A...
7490,3,9.67,[BCS2004] M 71 C51310+3849,19:53:44.83,~,+18:46:42.0,~,298.43679,+18.77833,~,~,~,~,17.39,~
7492,2,6.1,2MASS J19534721+1846537,19:53:47.211,~,+18:46:53.76,~,298.446712,+18.781600,~,-21.90,-0.000073,14.610,13.131,~
7492,3,6.98,[HBE2010] s07,19:53:46.45,~,+18:46:47.1,~,298.44354,+18.77975,~,~,~,15.16,~,~
7492,4,7.96,2MASS J19534643+1846459,19:53:46.432,~,+18:46:45.99,~,298.443467,+18.779442,~,-20.54,-0.000069,16.043,14.924,~
7492,5,8.18,M 71,19:53:46.49,-0.16,+18:46:45.1,-3.93,298.44371,+18.77919,~,-16.9,-0.000056,7.91,6.1,~
7492,6,9.51,Cl* NGC 6838 AH H,19:53:47.467,~,+18:46:51.12,~,298.447779,+18.780867,~,~,~,13.95,12.08,~
7493,2,3.09,2MASS J19534721+1846537,19:53:47.211,~,+18:46:53.76,~,298.446712,+18.781600,~,-21.90,-0.000073,14.610,13.131,~
7493,3,6.89,Cl* NGC 6838 AH H,19:53:47.467,~,+18:46:51.12,~,298.447779,+18.780867,~,~,~,13.95,12.08,~
7493,4,9.79,[HBE2010] s07,19:53:46.45,~,+18:46:47.1,~,298.44354,+18.77975,~,~,~,15.16,~,~
7494,2,3.09,2MASS J19534721+1846537,19:53:47.211,~,+18:46:53.76,~,298.446712,+18.781600,~,-21.90,-0.000073,14.610,13.131,~
7494,3,6.89,Cl* NGC 6838 AH H,19:53:47.467,~,+18:46:51.12,~,298.447779,+18.780867,~,~,~,13.95,12.08,~
7494,4,9.79,[HBE2010] s07,19:53:46.45,~,+18:46:47.1,~,298.44354,+18.77975,~,~,~,15.16,~,~
7495,2,9.3,[KGS2008] J195344.5+184647,19:53:44.4,~,+18:46:48,~,298.4350,+18.7800,~,-7.32,-0.000024,15.64,14.76,~
7495,3,9.73,Cl* NGC 6838 ASC 399,19:53:45.510,~,+18:46:49.57,~,298.439625,+18.780436,~,-0.78,-0.000003,15.08,13.76,~
7495,4,9.96,Cl* NGC 6838 ASC 10218,19:53:44.6,~,+18:47:03,~,298.4358,+18.7842,~,-10.03,-0.000033,~,16.03,~
7498,2,4.24,[KGS2008] J195353.7+184704,19:53:53.7,~,+18:47:04,~,298.4737,+18.7844,~,~,~,14.44,13.61,~
7498,3,6.63,NGC 6838 1029,19:53:54.000,~,+18:47:03.41,~,298.475000,+18.784281,~,14.80,0.000049,14.60,12.76,~
7500,2,4.38,[KGS2008] J195353.7+184704,19:53:53.7,~,+18:47:04,~,298.4737,+18.7844,~,~,~,14.44,13.61,~
7500,3,7.57,Cl* NGC 6838 ASC 2154,19:53:53.0,~,+18:47:08,~,298.4708,+18.7856,~,-6.90,-0.000023,~,~,~
7500,4,8.53,NGC 6838 1029,19:53:54.000,~,+18:47:03.41,~,298.475000,+18.784281,~,14.80,0.000049,14.60,12.76,~
7506,2,4.68,2MASS J19533757+1847286,19:53:37.574,~,+18:47:28.60,~,298.406558,+18.791278,~,-28.06,-0.000094,14.447,12.762,~
7506,3,6.07,2MASS J19533717+1847201,19:53:37.177,~,+18:47:20.19,~,298.404904,+18.788942,~,~,~,13.29,12.01,~
7507,2,6.02,Cl* NGC 6838 ASC 4482,19:53:43.9,~,+18:47:35,~,298.4329,+18.7931,~,-21.82,-0.000073,~,~,~
